"lat","long","depth","mag","stations","order"
-30.66,180.13,411,4.7,42,211
-16.17,184.1,338,4.3,13,212
-28.25,181.71,226,4.1,19,213
-20.47,185.68,93,5.4,85,214
-23.55,180.27,535,4.3,22,215
-20.94,181.58,573,4.3,21,216
-26.67,182.4,186,4.2,17,217
-18.13,181.52,618,4.6,41,218
-20.21,183.83,242,4.4,29,219
-18.31,182.39,342,4.2,14,220
-16.52,185.7,90,4.7,30,221
-22.36,171.65,130,4.6,39,222
-22.43,184.48,65,4.9,48,223
-20.37,182.1,397,4.2,22,224
-23.77,180.16,505,4.5,26,225
-13.65,166.66,71,4.9,52,226
-21.55,182.9,207,4.2,18,227
-16.24,185.75,154,4.5,22,228
-23.73,182.53,232,5,55,229
-22.34,171.52,106,5,43,230
-19.4,180.94,664,4.7,34,231
-24.64,180.81,397,4.3,24,232
-16,182.82,431,4.4,16,233
-19.62,185.35,57,4.9,31,234
-23.84,180.13,525,4.5,15,235
-23.54,179.93,574,4,12,236
-28.23,182.68,74,4.4,20,237
-21.68,180.63,617,5,63,238
-13.44,166.53,44,4.7,27,239
-24.96,180.22,470,4.8,41,240
-20.08,182.74,298,4.5,33,241
-24.36,182.84,148,4.1,16,242
-14.7,166,48,5.3,16,243
-18.2,183.68,107,4.8,52,244
-16.65,185.51,218,5,52,245
-18.11,181.67,597,4.6,28,246
-17.95,181.65,619,4.3,26,247
-15.5,186.9,46,4.7,18,248
-23.36,180.01,553,5.3,61,249
-19.15,169.5,150,4.2,12,250
-10.97,166.26,180,4.7,26,251
-14.85,167.24,97,4.5,26,252
-17.8,181.38,587,5.1,47,253
-22.5,170.4,106,4.9,38,254
-29.1,182.1,179,4.4,19,255
-20.32,180.88,680,4.2,22,256
-16.09,184.89,304,4.6,34,257
-19.18,169.33,254,4.7,35,258
-23.81,179.36,521,4.2,23,259
-23.79,179.89,526,4.9,43,260
-19.02,184.23,270,5.1,72,261
-20.9,181.51,548,4.7,32,262
-19.06,169.01,158,4.4,10,263
-17.88,181.47,562,4.4,27,264
-19.41,183.05,300,4.2,16,265
-26.17,184.2,65,4.9,37,266
-14.95,167.24,130,4.6,16,267
-18.73,168.8,82,4.4,14,268
-20.21,182.37,482,4.6,37,269
-21.29,180.85,607,4.5,23,270
-19.76,181.41,105,4.4,15,271
-22.09,180.38,590,4.9,35,272
-23.8,179.9,498,4.1,12,273
-20.16,181.99,504,4.2,11,274
-22.13,180.38,577,5.7,104,275
-17.44,181.4,529,4.6,25,276
-23.33,180.18,528,5,59,277
-24.78,179.22,492,4.3,16,278
-22,180.52,561,4.5,19,279
-19.13,182.51,579,5.2,56,280
-30.72,180.1,413,4.4,22,281
-22.32,180.54,565,4.2,12,282
-16.45,177.77,138,4.6,17,283
-17.7,185,383,4,10,284
-17.95,184.68,260,4.4,21,285
-24.4,179.85,522,4.7,29,286
-19.3,180.6,671,4.2,16,287
-21.13,185.32,123,4.7,36,288
-18.07,181.57,572,4.5,26,289
-20.6,182.28,529,5,50,290
-18.48,181.49,641,5,49,291
-13.34,166.2,67,4.8,18,292
-20.92,181.5,546,4.6,31,293
-25.31,179.69,507,4.6,35,294
-15.24,186.21,158,5,57,295
-16.4,185.86,148,5,47,296
-24.57,178.4,562,5.6,80,297
-17.94,181.51,601,4,16,298
-30.64,181.2,175,4,16,299
-18.64,169.32,260,4.6,23,300
-13.09,169.28,654,4.4,22,301
-19.68,184.14,242,4.8,40,302
-16.44,185.74,126,4.7,30,303
-21.09,181.38,555,4.6,15,304
-14.99,171.39,637,4.3,21,305
-23.3,179.7,500,4.7,29,306
-17.68,181.36,515,4.1,19,307
-22,180.53,583,4.9,20,308
-21.38,181.39,501,4.6,36,309
-32.62,181.5,55,4.8,26,310
-13.05,169.58,644,4.9,68,311
-12.93,169.63,641,5.1,57,312
-18.6,181.91,442,5.4,82,313
-21.34,181.41,464,4.5,21,314
-21.48,183.78,200,4.9,54,315
-17.4,181.02,479,4.4,14,316
-17.32,181.03,497,4.1,13,317
-18.77,169.24,218,5.3,53,318
-26.16,179.5,492,4.5,25,319
-12.59,167.1,325,4.9,26,320
-14.82,167.32,123,4.8,28,321
-21.79,183.48,210,5.2,69,322
-19.83,182.04,575,4.4,23,323
-29.5,182.31,129,4.4,14,324
-12.49,166.36,74,4.9,55,325
-26.1,182.3,49,4.4,11,326
-21.04,181.2,483,4.2,10,327
-10.78,165.77,93,4.6,20,328
-20.76,185.77,118,4.6,15,329
-11.41,166.24,83,5.3,55,330
-19.1,183.87,61,5.3,42,331
-23.91,180,534,4.5,11,332
-27.33,182.6,42,4.4,11,333
-12.25,166.6,219,5,28,334
-23.49,179.07,544,5.1,58,335
-27.18,182.18,56,4.5,14,336
-25.8,182.1,68,4.5,26,337
-27.19,182.18,69,5.4,68,338
-27.27,182.38,45,4.5,16,339
-27.1,182.18,43,4.7,17,340
-27.22,182.28,65,4.2,14,341
-27.38,181.7,80,4.8,13,342
-27.27,182.5,51,4.5,13,343
-27.54,182.5,68,4.3,12,344
-27.2,182.39,69,4.3,14,345
-27.71,182.47,103,4.3,11,346
-27.6,182.4,61,4.6,11,347
-27.38,182.39,69,4.5,12,348
-21.54,185.48,51,5,29,349
-27.21,182.43,55,4.6,10,350
-28.96,182.61,54,4.6,15,351
-12.01,166.29,59,4.9,27,352
-17.46,181.32,573,4.1,17,353
-30.17,182.02,56,5.5,68,354
-27.27,182.36,65,4.7,21,355
-17.79,181.32,587,5,49,356
-22.19,171.4,150,5.1,49,357
-17.1,182.68,403,5.5,82,358
-27.18,182.53,60,4.6,21,359
-11.64,166.47,130,4.7,19,360
-17.98,181.58,590,4.2,14,361
-16.9,185.72,135,4,22,362
-21.98,179.6,583,5.4,67,363
-32.14,179.9,406,4.3,19,364
-18.8,169.21,221,4.4,16,365
-26.78,183.61,40,4.6,22,366
-20.43,182.37,502,5.1,48,367
-18.3,183.2,103,4.5,14,368
-15.83,182.51,423,4.2,21,369
-23.44,182.93,158,4.1,20,370
-23.73,179.99,527,5.1,49,371
-19.89,184.08,219,5.4,105,372
-17.59,181.09,536,5.1,61,373
-19.77,181.4,630,5.1,54,374
-20.31,184.06,249,4.4,21,375
-15.33,186.75,48,5.7,123,376
-18.2,181.6,553,4.4,14,377
-15.36,186.66,112,5.1,57,378
-15.29,186.42,153,4.6,31,379
-15.36,186.71,130,5.5,95,380
-16.24,167.95,188,5.1,68,381
-13.47,167.14,226,4.4,26,382
-25.5,182.82,124,5,25,383
-14.32,167.33,204,5,49,384
-20.04,182.01,605,5.1,49,385
-28.83,181.66,221,5.1,63,386
-17.82,181.49,573,4.2,14,387
-27.23,180.98,401,4.5,39,388
-10.72,165.99,195,4,14,389
-27,183.88,56,4.9,36,390
-20.36,186.16,102,4.3,21,391
-27.17,183.68,44,4.8,27,392
-20.94,181.26,556,4.4,21,393
-17.46,181.9,417,4.2,14,394
-21.04,181.2,591,4.9,45,395
-23.7,179.6,646,4.2,21,396
-17.72,181.42,565,5.3,89,397
-15.87,188.13,52,5,30,398
-17.84,181.3,535,5.7,112,399
-13.45,170.3,641,5.3,93,400
-30.8,182.16,41,4.7,24,401
-11.63,166.14,109,4.6,36,402
-30.4,181.4,40,4.3,17,403
-26.18,178.59,548,5.4,65,404
-15.7,184.5,118,4.4,30,405
-17.95,181.5,593,4.3,16,406
-20.51,182.3,492,4.3,23,407
-15.36,167.51,123,4.7,28,408
-23.61,180.23,475,4.4,26,409
-33.2,181.6,153,4.2,21,410
-17.68,186.8,112,4.5,35,411
-22.24,184.56,99,4.8,57,412
-20.07,169.14,66,4.8,37,413
-25.04,180.1,481,4.3,15,414
-21.5,185.2,139,4.4,15,415
-14.28,167.26,211,5.1,51,416
-14.43,167.26,151,4.4,17,417
-32.7,181.7,211,4.4,40,418
-34.1,181.8,246,4.3,23,419
-19.7,186.2,47,4.8,19,420
-24.19,180.38,484,4.3,27,421
-26.6,182.77,119,4.5,29,422
-17.04,186.8,70,4.1,22,423
-22.1,179.71,579,5.1,58,424
-32.6,180.9,57,4.7,44,425
-33,182.4,176,4.6,28,426
-20.58,181.24,602,4.7,44,427
-20.61,182.6,488,4.6,12,428
-19.47,169.15,149,4.4,15,429
-17.47,180.96,546,4.2,23,430
-18.4,183.4,343,4.1,10,431
-23.33,180.26,530,4.7,22,432
-18.55,182.23,563,4,17,433
-26.16,178.47,537,4.8,33,434
-21.8,183.2,325,4.4,19,435
-27.63,182.93,80,4.3,14,436
-18.89,169.48,259,4.4,21,437
-20.3,182.3,476,4.5,10,438
-20.56,182.04,499,4.5,29,439
-16.1,185.32,257,4.7,30,440
-12.66,166.37,165,4.3,18,441
-21.05,184.68,136,4.7,29,442
-17.97,168.52,146,4.8,33,443
-19.83,182.54,524,4.6,14,444
-22.55,183.81,82,5.1,68,445
-22.28,183.52,90,4.7,19,446
-15.72,185.64,138,4.3,21,447
-20.85,181.59,499,5.1,91,448
-21.11,181.5,538,5.5,104,449
-25.31,180.15,467,4.5,25,450
-26.46,182.5,184,4.3,11,451
-24.09,179.68,538,4.3,21,452
-16.96,167.7,45,4.7,23,453
-23.19,182.8,237,4.3,18,454
-20.81,184.7,162,4.3,20,455
-15.03,167.32,136,4.6,20,456
-18.06,181.59,604,4.5,23,457
-19,185.6,107,4.5,15,458
-23.53,179.99,538,5.4,87,459
-18.18,180.63,639,4.6,39,460
-15.66,186.8,45,4.4,11,461
-18,180.62,636,5,100,462
-18.08,180.7,628,5.2,72,463
-18.05,180.86,632,4.4,15,464
-29.9,181.16,215,5.1,51,465
-20.9,181.9,556,4.4,17,466
-15.61,167.5,135,4.4,21,467
-16.03,185.43,297,4.8,25,468
-17.68,181.11,568,4.4,22,469
-31.94,180.57,168,4.7,39,470
-19.14,184.36,269,4.7,31,471
-18,185.48,143,4.4,29,472
-16.95,185.94,95,4.3,12,473
-10.79,166.06,142,5,40,474
-20.83,185.9,104,4.5,19,475
-32.9,181.6,169,4.6,27,476
-37.93,177.47,65,5.4,65,477
-29.09,183.2,54,4.6,23,478
-23.56,180.23,474,4.5,13,479
-19.6,185.2,125,4.4,13,480
-21.39,180.68,617,4.5,18,481
-14.85,184.87,294,4.1,10,482
-22.7,183.3,180,4,13,483
-32.42,181.21,47,4.9,39,484
-17.9,181.3,593,4.1,13,485
-23.58,183.4,94,5.2,79,486
-34.4,180.5,201,4.4,41,487
-17.61,181.2,537,4.1,11,488
-21.07,181.13,594,4.9,43,489
-13.84,170.62,638,4.6,20,490
-30.24,181.63,80,4.5,17,491
-18.49,169.04,211,4.8,30,492
-23.45,180.23,520,4.2,19,493
-16.04,183.54,384,4.2,23,494
-17.14,185.31,223,4.1,15,495
-22.54,172.91,54,5.5,71,496
-15.9,185.3,57,4.4,19,497
-30.04,181.2,49,4.8,20,498
-24.03,180.22,508,4.2,23,499
-18.89,184.46,242,4.8,36,500
-16.51,187.1,62,4.9,46,501
-20.1,186.3,63,4.6,19,502
-21.06,183.81,203,4.5,34,503
-13.07,166.87,132,4.4,24,504
-23.46,180.09,543,4.6,28,505
-19.41,182.3,589,4.2,19,506
-11.81,165.98,51,4.7,28,507
-11.76,165.96,45,4.4,51,508
-12.08,165.76,63,4.5,51,509
-25.59,180.02,485,4.9,48,510
-26.54,183.63,66,4.7,34,511
-20.9,184.28,58,5.5,92,512
-16.99,187,70,4.7,30,513
-23.46,180.17,541,4.6,32,514
-17.81,181.82,598,4.1,14,515
-15.17,187.2,50,4.7,28,516
-11.67,166.02,102,4.6,21,517
-20.75,184.52,144,4.3,25,518
-19.5,186.9,58,4.4,20,519
-26.18,179.79,460,4.7,44,520
-20.66,185.77,69,4.3,25,521
-19.22,182.54,570,4.1,22,522
-24.68,183.33,70,4.7,30,523
-15.43,167.38,137,4.5,16,524
-32.45,181.15,41,5.5,81,525
-21.31,180.84,586,4.5,17,526
-15.44,167.18,140,4.6,44,527
-13.26,167.01,213,5.1,70,528
-15.26,183.13,393,4.4,28,529
-33.57,180.8,51,4.7,35,530
-15.77,167.01,64,5.5,73,531
-15.79,166.83,45,4.6,39,532
-21,183.2,296,4,16,533
-16.28,166.94,50,4.6,24,534
-23.28,184.6,44,4.8,34,535
-16.1,167.25,68,4.7,36,536
-17.7,181.31,549,4.7,33,537
-15.96,166.69,150,4.2,20,538
-15.95,167.34,47,5.4,87,539
-17.56,181.59,543,4.6,34,540
-15.9,167.42,40,5.5,86,541
-15.29,166.9,100,4.2,15,542
-15.86,166.85,85,4.5,22,543
-16.2,166.8,98,4.5,21,544
-15.71,166.91,58,4.8,20,545
-16.45,167.54,125,4.6,18,546
-11.54,166.18,89,5.4,80,547
-19.61,181.91,590,4.6,34,548
-15.61,187.15,49,5,30,549
-21.16,181.41,543,4.3,17,550
-20.65,182.22,506,4.3,24,551
-20.33,168.71,40,4.8,38,552
-15.08,166.62,42,4.7,23,553
-23.28,184.61,76,4.7,36,554
-23.44,184.6,63,4.8,27,555
-23.12,184.42,104,4.2,17,556
-23.65,184.46,93,4.2,16,557
-22.91,183.95,64,5.9,118,558
-22.06,180.47,587,4.6,28,559
-13.56,166.49,83,4.5,25,560
-17.99,181.57,579,4.9,49,561
-23.92,184.47,40,4.7,17,562
-30.69,182.1,62,4.9,25,563
-21.92,182.8,273,5.3,78,564
-25.04,180.97,393,4.2,21,565
-19.92,183.91,264,4.2,23,566
-27.75,182.26,174,4.5,18,567
-17.71,181.18,574,5.2,67,568
-19.6,183.84,309,4.5,23,569
-34.68,179.82,75,5.6,79,570
-14.46,167.26,195,5.2,87,571
-18.85,187.55,44,4.8,35,572
-17.02,182.41,420,4.5,29,573
-20.41,186.51,63,5,28,574
-18.18,182.04,609,4.4,26,575
-16.49,187.8,40,4.5,18,576
-17.74,181.31,575,4.6,42,577
-20.49,181.69,559,4.5,24,578
-18.51,182.64,405,5.2,74,579
-27.28,183.4,70,5.1,54,580
-15.9,167.16,41,4.8,42,581
-20.57,181.33,605,4.3,18,582
-11.25,166.36,130,5.1,55,583
-20.04,181.87,577,4.7,19,584
-20.89,181.25,599,4.6,20,585
-16.62,186.74,82,4.8,51,586
-20.09,168.75,50,4.6,23,587
-24.96,179.87,480,4.4,25,588
-20.95,181.42,559,4.6,27,589
-23.31,179.27,566,5.1,49,590
-20.95,181.06,611,4.3,20,591
-21.58,181.9,409,4.4,19,592
-13.62,167.15,209,4.7,30,593
-12.72,166.28,70,4.8,47,594
-21.79,185,74,4.1,15,595
-20.48,169.76,134,4.6,33,596
-12.84,166.78,150,4.9,35,597
-17.02,182.93,406,4,17,598
-23.89,182.39,243,4.7,32,599
-23.07,184.03,89,4.7,32,600
-27.98,181.96,53,5.2,89,601
-28.1,182.25,68,4.6,18,602
-21.24,180.81,605,4.6,34,603
-21.24,180.86,615,4.9,23,604
-19.89,174.46,546,5.7,99,605
-32.82,179.8,176,4.7,26,606
-22,185.5,52,4.4,18,607
-21.57,185.62,66,4.9,38,608
-24.5,180.92,377,4.8,43,609
-33.03,180.2,186,4.6,27,610
-30.09,182.4,51,4.4,18,611
-22.75,170.99,67,4.8,35,612
-17.99,168.98,234,4.7,28,613
-19.6,181.87,597,4.2,18,614
-15.65,186.26,64,5.1,54,615
-17.78,181.53,511,4.8,56,616
-22.04,184.91,47,4.9,47,617
-20.06,168.69,49,5.1,49,618
-18.07,181.54,546,4.3,28,619
-12.85,165.67,75,4.4,30,620
-33.29,181.3,60,4.7,33,621
-34.63,179.1,278,4.7,24,622
-24.18,179.02,550,5.3,86,623
-23.78,180.31,518,5.1,71,624
-22.37,171.5,116,4.9,38,625
-23.97,179.91,518,4.5,23,626
-34.12,181.75,75,4.7,41,627
-25.25,179.86,491,4.2,23,628
-22.87,172.65,56,5.1,50,629
-18.48,182.37,376,4.8,57,630
-21.46,181.02,584,4.2,18,631
-28.56,183.47,48,4.8,56,632
-28.56,183.59,53,4.4,20,633
-21.3,180.92,617,4.5,26,634
-20.08,183.22,294,4.3,18,635
-18.82,182.21,417,5.6,129,636
-19.51,183.97,280,4,16,637
-12.05,167.39,332,5,36,638
-17.4,186.54,85,4.2,28,639
-23.93,180.18,525,4.6,31,640
-21.23,181.09,613,4.6,18,641
-16.23,167.91,182,4.5,28,642
-28.15,183.4,57,5,32,643
-20.81,185.01,79,4.7,42,644
-20.72,181.41,595,4.6,36,645
-23.29,184,164,4.8,50,646
-38.46,176.03,148,4.6,44,647
-15.48,186.73,82,4.4,17,648
-37.03,177.52,153,5.6,87,649
-20.48,181.38,556,4.2,13,650
-18.12,181.88,649,5.4,88,651
-18.17,181.98,651,4.8,43,652
-11.4,166.07,93,5.6,94,653
-23.1,180.12,533,4.4,27,654
-14.28,170.34,642,4.7,29,655
-22.87,171.72,47,4.6,27,656
-17.59,180.98,548,5.1,79,657
-27.6,182.1,154,4.6,22,658
-17.94,180.6,627,4.5,29,659
-17.88,180.58,622,4.2,23,660
-30.01,180.8,286,4.8,43,661
-19.19,182.3,390,4.9,48,662
-18.14,180.87,624,5.5,105,663
-23.46,180.11,539,5,41,664
-18.44,181.04,624,4.2,21,665
-18.21,180.87,631,5.2,69,666
-18.26,180.98,631,4.8,36,667
-15.85,184.83,299,4.4,30,668
-23.82,180.09,498,4.8,40,669
-18.6,184.28,255,4.4,31,670
-17.8,181.32,539,4.1,12,671
-10.78,166.1,195,4.9,45,672
-18.12,181.71,594,4.6,24,673
-19.34,182.62,573,4.5,32,674
-15.34,167.1,128,5.3,18,675
-24.97,182.85,137,4.8,40,676
-15.97,186.08,143,4.6,41,677
-23.47,180.24,511,4.8,37,678
-23.11,179.15,564,4.7,17,679
-20.54,181.66,559,4.9,50,680
-18.92,169.37,248,5.3,60,681
-20.16,184.27,210,4.4,27,682
-25.48,180.94,390,4.6,33,683
-18.19,181.74,616,4.3,17,684
-15.35,186.4,98,4.4,17,685
-18.69,169.1,218,4.2,27,686
-18.89,181.24,655,4.1,14,687
-17.61,183.32,356,4.2,15,688
-20.93,181.54,564,5,64,689
-17.6,181.5,548,4.1,10,690
-17.96,181.4,655,4.3,20,691
-18.8,182.41,385,5.2,67,692
-20.61,182.44,518,4.2,10,693
-20.74,181.53,598,4.5,36,694
-25.23,179.86,476,4.4,29,695
-23.9,179.9,579,4.4,16,696
-18.07,181.58,603,5,65,697
-15.43,185.19,249,4,11,698
-14.3,167.32,208,4.8,25,699
-18.04,181.57,587,5,51,700
-13.9,167.18,221,4.2,21,701
-17.64,177.01,545,5.2,91,702
-17.98,181.51,586,5.2,68,703
-25,180,488,4.5,10,704
-19.45,184.48,246,4.3,15,705
-16.11,187.48,61,4.5,19,706
-23.73,179.98,524,4.6,11,707
-17.74,186.78,104,5.1,71,708
-21.56,183.23,271,4.4,36,709
-20.97,181.72,487,4.3,16,710
-15.45,186.73,83,4.7,37,711
-15.93,167.91,183,5.6,109,712
-21.47,185.86,55,4.9,46,713
-21.44,170.45,166,5.1,22,714
-22.16,180.49,586,4.6,13,715
-13.36,172.76,618,4.4,18,716
-21.22,181.51,524,4.8,49,717
-26.1,182.5,133,4.2,17,718
-18.35,185.27,201,4.7,57,719
-17.2,182.9,383,4.1,11,720
-22.42,171.4,86,4.7,33,721
-17.91,181.48,555,4,17,722
-26.53,178.3,605,4.9,43,723
-26.5,178.29,609,5,50,724
-16.31,168.08,204,4.5,16,725
-18.76,169.71,287,4.4,23,726
-17.1,182.8,390,4,14,727
-19.28,182.78,348,4.5,30,728
-23.5,180,550,4.7,23,729
-21.26,181.69,487,4.4,20,730
-17.97,181.48,578,4.7,43,731
-26.02,181.2,361,4.7,32,732
-30.3,180.8,275,4,14,733
-24.89,179.67,498,4.2,14,734
-14.57,167.24,162,4.5,18,735
-15.4,186.87,78,4.7,44,736
-22.06,183.95,134,4.5,17,737
-25.14,178.42,554,4.1,15,738
-20.3,181.4,608,4.6,13,739
-25.28,181.17,367,4.3,25,740
-20.63,181.61,599,4.6,30,741
-19.02,186.83,45,5.2,65,742
-22.1,185.3,50,4.6,22,743
-38.59,175.7,162,4.7,36,744
-19.3,183,302,5,65,745
